Year,Exporter,Importer,Weight,Exporter_region,Import_region
2002,Brazil,Germany,301326.56,Latin America and the Caribbean,Europe
2002,Colombia,United States,226348.97,Latin America and the Caribbean,Northern America
2002,Brazil,United States,169067.94,Latin America and the Caribbean,Northern America
2002,Brazil,Italy,128060.79,Latin America and the Caribbean,Europe
2002,Guatemala,United States,125021.29,Latin America and the Caribbean,Northern America
2002,Colombia,Germany,100631.53,Latin America and the Caribbean,Europe
2002,Mexico,United States,97261.086,Latin America and the Caribbean,Northern America
2002,Brazil,Japan,95428.89,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2002,Colombia,Japan,83503.484,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2002,Costa Rica,United States,82580.445,Latin America and the Caribbean,Northern America
2002,Brazil,France,70252.96,Latin America and the Caribbean,Europe
2002,Cote d'Ivoire,Algeria,69275.89,Sub-Saharan Africa,Northern Africa and Western Asia
2002,Brazil,Spain,62041.734,Latin America and the Caribbean,Europe
2002,Vietnam,Germany,59270.848,Eastern and South-Eastern Asia (excl. China),Europe
2002,Indonesia,Japan,57467.965,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2002,Indonesia,Germany,55198.188,Eastern and South-Eastern Asia (excl. China),Europe
2002,Peru,Germany,52846.875,Latin America and the Caribbean,Europe
2002,Brazil,Belgium,52333.367,Latin America and the Caribbean,Europe
2002,Indonesia,United States,52012.25,Eastern and South-Eastern Asia (excl. China),Northern America
2002,Germany,Austria,51964.074,Europe,Europe
2002,Vietnam,United States,46381.293,Eastern and South-Eastern Asia (excl. China),Northern America
2002,Peru,United States,45876.895,Latin America and the Caribbean,Northern America
2002,United States,Canada,41092.375,Northern America,Northern America
2002,Honduras,Germany,39753.445,Latin America and the Caribbean,Europe
2002,Germany,United States,39179.055,Europe,Northern America
2002,India,Italy,39175.82,Central and Southern Asia,Europe
2002,Brazil,United Kingdom,37661.08,Latin America and the Caribbean,Europe
2002,Brazil,Sweden,37288.83,Latin America and the Caribbean,Europe
2002,Uganda,Switzerland,36176.53,Sub-Saharan Africa,Europe
2002,Colombia,Canada,32037.64,Latin America and the Caribbean,Northern America
2002,Ethiopia,Japan,31820.059,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China)
2002,Brazil,Netherlands,31725.836,Latin America and the Caribbean,Europe
2002,Ethiopia,Germany,30718.473,Sub-Saharan Africa,Europe
2002,Brazil,Greece,30478.773,Latin America and the Caribbean,Europe
2002,Belgium,France,29293.42,Europe,Europe
2002,Brazil,Canada,28367.68,Latin America and the Caribbean,Northern America
2002,Papua New Guinea,Germany,28107.215,Oceania (excl. Australia and New Zealand),Europe
2002,Vietnam,Spain,27705.26,Eastern and South-Eastern Asia (excl. China),Europe
2002,Cote d'Ivoire,France,27514.3,Sub-Saharan Africa,Europe
2002,Brazil,Serbia and Montenegro,27223.295,Latin America and the Caribbean,
2002,El Salvador,Germany,27050.508,Latin America and the Caribbean,Europe
2002,Papua New Guinea,Germany,27004.809,Oceania (excl. Australia and New Zealand),Europe
2002,Brazil,Finland,26714.193,Latin America and the Caribbean,Europe
2002,El Salvador,United States,26407.957,Latin America and the Caribbean,Northern America
2002,Brazil,Denmark,26358.875,Latin America and the Caribbean,Europe
2002,Guatemala,Germany,26345.717,Latin America and the Caribbean,Europe
2002,United States,Canada,26123.357,Northern America,Northern America
2002,Vietnam,Italy,25607.965,Eastern and South-Eastern Asia (excl. China),Europe
2002,Colombia,Belgium,24896.42,Latin America and the Caribbean,Europe
2002,Brazil,Argentina,24808.781,Latin America and the Caribbean,Latin America and the Caribbean
2002,Vietnam,Belgium,24723.467,Eastern and South-Eastern Asia (excl. China),Europe
2002,Cameroon,Italy,24079.375,Sub-Saharan Africa,Europe
2002,Nicaragua,United States,23708.47,Latin America and the Caribbean,Northern America
2002,Mexico,"Areas, nes",23494.893,Latin America and the Caribbean,
2002,Belgium,France,23383.334,Europe,Europe
2002,India,Germany,23201.633,Central and Southern Asia,Europe
2002,Honduras,United States,22272.863,Latin America and the Caribbean,Northern America
2002,Guatemala,Japan,21207.156,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2002,Uganda,Spain,21205.162,Sub-Saharan Africa,Europe
2002,Vietnam,France,20308.701,Eastern and South-Eastern Asia (excl. China),Europe
2002,Brazil,Syria,20252.94,Latin America and the Caribbean,Northern Africa and Western Asia
2002,Brazil,Slovenia,19568.943,Latin America and the Caribbean,Europe
2002,Colombia,United States,19399.564,Latin America and the Caribbean,Northern America
2002,Vietnam,Poland,18634.23,Eastern and South-Eastern Asia (excl. China),Europe
2002,Brazil,Austria,18132.582,Latin America and the Caribbean,Europe
