Year,Exporter,Importer,Weight,Exporter_region,Import_region
2017,Kenya,Pakistan,160150.22,Sub-Saharan Africa,Central and Southern Asia
2017,Kenya,Egypt,73776.05,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Kenya,United Kingdom,55808.883,Sub-Saharan Africa,Europe
2017,China,Morocco,55527.85,China,Northern Africa and Western Asia
2017,Argentina,United States,51571.555,Latin America and the Caribbean,Northern America
2017,India,Russian Federation,49236.75,Central and Southern Asia,Europe
2017,Kenya,Afghanistan,37679.0,Sub-Saharan Africa,Central and Southern Asia
2017,Kenya,United Arab Emirates,35689.93,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Brazil,Uruguay,29463.164,Latin America and the Caribbean,Latin America and the Caribbean
2017,India,Iran,27920.262,Central and Southern Asia,Central and Southern Asia
2017,Sri Lanka,Russian Federation,27845.164,Central and Southern Asia,Europe
2017,Uganda,Kenya,26730.14,Sub-Saharan Africa,Sub-Saharan Africa
2017,Vietnam,Afghanistan,26330.3,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2017,Sri Lanka,Iran,23757.607,Central and Southern Asia,Central and Southern Asia
2017,Argentina,Syria,23222.0,Latin America and the Caribbean,Northern Africa and Western Asia
2017,China,Uzbekistan,20523.914,China,Central and Southern Asia
2017,Sri Lanka,Iraq,20040.605,Central and Southern Asia,Northern Africa and Western Asia
2017,Kenya,Sudan,19589.602,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Sri Lanka,Turkey,19548.168,Central and Southern Asia,Northern Africa and Western Asia
2017,Kenya,Russian Federation,19368.062,Sub-Saharan Africa,Europe
2017,India,United Arab Emirates,18771.656,Central and Southern Asia,Northern Africa and Western Asia
2017,China,Morocco,17956.016,China,Northern Africa and Western Asia
2017,Vietnam,Russian Federation,17438.912,Eastern and South-Eastern Asia (excl. China),Europe
2017,India,United Kingdom,16862.934,Central and Southern Asia,Europe
2017,Kenya,Yemen,15767.497,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Malawi,South Africa,15534.201,Sub-Saharan Africa,Sub-Saharan Africa
2017,China,Mauritania,15014.419,China,Sub-Saharan Africa
2017,Sri Lanka,Iraq,14967.51,Central and Southern Asia,Northern Africa and Western Asia
2017,Vietnam,Pakistan,14664.123,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2017,Kenya,Kazakhstan,11899.161,Sub-Saharan Africa,Central and Southern Asia
2017,India,Pakistan,11879.424,Central and Southern Asia,Central and Southern Asia
2017,Rwanda,Pakistan,11819.867,Sub-Saharan Africa,Central and Southern Asia
2017,Sri Lanka,Azerbaijan,11719.908,Central and Southern Asia,Northern Africa and Western Asia
2017,India,Kazakhstan,11694.906,Central and Southern Asia,Central and Southern Asia
2017,India,Germany,11606.256,Central and Southern Asia,Europe
2017,China,Russian Federation,11345.111,China,Europe
2017,Malawi,United Kingdom,11201.497,Sub-Saharan Africa,Europe
2017,China,Ghana,10891.347,China,Sub-Saharan Africa
2017,Sri Lanka,Libya,10792.11,Central and Southern Asia,Northern Africa and Western Asia
2017,Vietnam,"Areas, nes",10692.8,Eastern and South-Eastern Asia (excl. China),
2017,China,Algeria,10588.13,China,Northern Africa and Western Asia
2017,United Arab Emirates,Saudi Arabia,10163.712,Northern Africa and Western Asia,Northern Africa and Western Asia
2017,India,United States,9701.133,Central and Southern Asia,Northern America
2017,China,Japan,9617.518,China,Eastern and South-Eastern Asia (excl. China)
2017,Indonesia,Russian Federation,9343.796,Eastern and South-Eastern Asia (excl. China),Europe
2017,Sri Lanka,China,9229.857,Central and Southern Asia,China
2017,Argentina,Chile,9182.027,Latin America and the Caribbean,Latin America and the Caribbean
2017,Vietnam,"Other Asia, nes",9150.467,Eastern and South-Eastern Asia (excl. China),
2017,China,Germany,9058.174,China,Europe
2017,India,Egypt,9046.721,Central and Southern Asia,Northern Africa and Western Asia
2017,Nepal,India,8602.776,Central and Southern Asia,Central and Southern Asia
2017,India,China,8581.406,Central and Southern Asia,China
2017,Vietnam,"Other Asia, nes",8386.88,Eastern and South-Eastern Asia (excl. China),
2017,Indonesia,Malaysia,8267.262,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2017,Sri Lanka,Turkey,8068.0605,Central and Southern Asia,Northern Africa and Western Asia
2017,Kenya,Poland,8020.0737,Sub-Saharan Africa,Europe
2017,China,Libya,8015.65,China,Northern Africa and Western Asia
2017,Sri Lanka,United Arab Emirates,7959.592,Central and Southern Asia,Northern Africa and Western Asia
2017,Kenya,Afghanistan,7933.5,Sub-Saharan Africa,Central and Southern Asia
2017,China,United States,7528.2197,China,Northern America
2017,China,Senegal,7476.4595,China,Sub-Saharan Africa
2017,Sri Lanka,Japan,7199.622,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2017,Sri Lanka,United Arab Emirates,7143.331,Central and Southern Asia,Northern Africa and Western Asia
2017,United Arab Emirates,Iran,7067.4673,Northern Africa and Western Asia,Central and Southern Asia
2017,Vietnam,United Arab Emirates,6310.931,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2017,Sri Lanka,Russian Federation,6259.2266,Central and Southern Asia,Europe
2017,Sri Lanka,Chile,6168.688,Central and Southern Asia,Latin America and the Caribbean
2017,Zimbabwe,South Africa,6166.2007,Sub-Saharan Africa,Sub-Saharan Africa
2017,Vietnam,"Areas, nes",6096.3,Eastern and South-Eastern Asia (excl. China),
2017,China,Mali,5948.633,China,Sub-Saharan Africa
2017,United Arab Emirates,Iraq,5895.774,Northern Africa and Western Asia,Northern Africa and Western Asia
2017,Vietnam,Indonesia,5834.8086,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2017,China,Benin,5784.82,China,Sub-Saharan Africa
2017,India,Poland,5652.2026,Central and Southern Asia,Europe
2017,China,Togo,5503.9814,China,Sub-Saharan Africa
2017,Vietnam,United States,5296.5684,Eastern and South-Eastern Asia (excl. China),Northern America
2017,Malawi,United States,5289.831,Sub-Saharan Africa,Northern America
2017,India,Tunisia,5255.5127,Central and Southern Asia,Northern Africa and Western Asia
2017,China,United States,5106.619,China,Northern America
2017,United Arab Emirates,Russian Federation,4911.838,Northern Africa and Western Asia,Europe
2017,Burundi,Pakistan,4825.3184,Sub-Saharan Africa,Central and Southern Asia
2017,Sri Lanka,Syria,4819.432,Central and Southern Asia,Northern Africa and Western Asia
2017,Sri Lanka,Germany,4803.8125,Central and Southern Asia,Europe
2017,Zimbabwe,Mozambique,4756.6,Sub-Saharan Africa,Sub-Saharan Africa
2017,Tanzania,Kenya,4678.071,Sub-Saharan Africa,Sub-Saharan Africa
2017,China,"China, Hong Kong SAR",4638.661,China,China
2017,Vietnam,Afghanistan,4606.87,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2017,India,Sri Lanka,4482.584,Central and Southern Asia,Central and Southern Asia
2017,Tanzania,United Kingdom,4478.68,Sub-Saharan Africa,Europe
2017,Kenya,United States,4442.4434,Sub-Saharan Africa,Northern America
2017,United States,Canada,4320.428,Northern America,Northern America
2017,China,Cameroon,4129.6167,China,Sub-Saharan Africa
2017,India,Ukraine,4050.052,Central and Southern Asia,Europe
2017,United Kingdom,Ireland,4027.8877,Europe,Europe
2017,Uganda,Kenya,4005.0928,Sub-Saharan Africa,Sub-Saharan Africa
2017,Sri Lanka,"Other Asia, nes",3979.9846,Central and Southern Asia,
2017,Sri Lanka,"China, Hong Kong SAR",3969.261,Central and Southern Asia,China
2017,India,United States,3865.749,Central and Southern Asia,Northern America
2017,Kenya,Nigeria,3857.8232,Sub-Saharan Africa,Sub-Saharan Africa
2017,Argentina,Chile,3826.174,Latin America and the Caribbean,Latin America and the Caribbean
2017,Vietnam,Indonesia,3808.662,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2017,Switzerland,United Kingdom,3755.121,Europe,Europe
2017,India,United Arab Emirates,3716.5874,Central and Southern Asia,Northern Africa and Western Asia
2017,United Kingdom,Canada,3661.312,Europe,Northern America
2017,Sri Lanka,Jordan,3655.0586,Central and Southern Asia,Northern Africa and Western Asia
2017,China,Germany,3654.8306,China,Europe
2017,Russian Federation,Kazakhstan,3611.9841,Europe,Central and Southern Asia
2017,Kenya,India,3578.7495,Sub-Saharan Africa,Central and Southern Asia
2017,Russian Federation,Belarus,3566.379,Europe,Europe
2017,China,Gambia,3515.729,China,Sub-Saharan Africa
2017,Sri Lanka,Lebanon,3493.9512,Central and Southern Asia,Northern Africa and Western Asia
2017,Vietnam,Malaysia,3461.3784,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2017,Tanzania,Pakistan,3418.3362,Sub-Saharan Africa,Central and Southern Asia
2017,Afghanistan,Iran,3353.62,Central and Southern Asia,Central and Southern Asia
2017,Kenya,Turkey,3239.5698,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Indonesia,United States,3213.5183,Eastern and South-Eastern Asia (excl. China),Northern America
2017,China,Niger,3210.4004,China,Sub-Saharan Africa
2017,India,Japan,3201.8013,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2017,United Arab Emirates,Oman,3177.8542,Northern Africa and Western Asia,Northern Africa and Western Asia
2017,Sri Lanka,United States,3158.2324,Central and Southern Asia,Northern America
2017,United States,Canada,3139.448,Northern America,Northern America
2017,Vietnam,Pakistan,3124.6729,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2017,China,Mali,3115.0696,China,Sub-Saharan Africa
2017,China,Tunisia,3103.9497,China,Northern Africa and Western Asia
2017,China,France,3102.1006,China,Europe
2017,Rwanda,United Kingdom,3072.9355,Sub-Saharan Africa,Europe
2017,Sri Lanka,Ukraine,3068.4014,Central and Southern Asia,Europe
2017,Kenya,Jordan,3035.7336,Sub-Saharan Africa,Northern Africa and Western Asia
2017,Indonesia,Pakistan,3028.8477,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2017,China,Russian Federation,2993.143,China,Europe
2017,Kenya,Ireland,2978.1045,Sub-Saharan Africa,Europe
2017,Sri Lanka,Saudi Arabia,2956.389,Central and Southern Asia,Northern Africa and Western Asia
2017,China,Senegal,2941.8362,China,Sub-Saharan Africa
2017,China,Algeria,2882.23,China,Northern Africa and Western Asia
