,Year,Total_production
1,1990,5593800.0
2,1991,6076140.0
3,1992,5911260.0
4,1993,5505540.0
5,1994,5598840.0
6,1995,5239260.0
7,1996,6198660.0
8,1997,5993220.0
9,1998,6531960.0
10,1999,7883040.0
11,2000,6824640.0
12,2001,6474120.0
13,2002,7357500.0
14,2003,6330180.0
15,2004,6964740.0
16,2005,6670080.0
17,2006,8124000.0
18,2007,7310520.0
19,2008,8088060.0
20,2009,7672440.0
21,2010,8404500.0
22,2011,8479620.0
23,2012,9071040.0
24,2013,9234540.0
25,2014,9017940.0
26,2015,9367560.0
27,2016,9739080.0
28,2017,9821580.0
29,2018,10347780.0
30,2019,9903180.0
31,Total_production,225734820.0
