,Country,Total_production
0,Brazil,75082980.0
1,Viet Nam,28803180.0
2,Colombia,21598620.0
3,Indonesia,15404880.0
4,Ethiopia,8669520.0
5,India,8222220.0
6,Mexico,7853520.0
7,Guatemala,7020540.0
8,Honduras,6672720.0
9,Uganda,5919480.0
10,Peru,5317620.0
11,Côte d'Ivoire,4761420.0
12,Costa Rica,3596700.0
13,El Salvador,2820900.0
14,Nicaragua,2749380.0
15,Venezuela,1992780.0
16,Ecuador,1900380.0
17,Papua New Guinea,1803120.0
18,Kenya,1768320.0
19,Thailand,1674000.0
20,Tanzania,1474680.0
21,Cameroon,1358640.0
22,Democratic Republic of Congo,1051080.0
23,Madagascar,1045560.0
24,Dominican Republic,909540.0
25,Philippines,890700.0
26,Haiti,698880.0
27,Burundi,623640.0
28,Lao People's Democratic Republic,568080.0
29,Rwanda,567540.0
30,Guinea,482460.0
31,Cuba,359160.0
32,Togo,281400.0
33,Panama,280980.0
34,Bolivia (Plurinational State of),207000.0
35,Yemen,190920.0
36,Central African Republic,184020.0
37,Zimbabwe,132120.0
38,Sierra Leone,87180.0
39,Malawi,82260.0
40,Angola,82080.0
41,Nigeria,81900.0
42,Zambia,76800.0
43,Sri Lanka,73860.0
44,Timor-Leste,68640.0
45,Ghana,63660.0
46,Paraguay,62220.0
47,Jamaica,54000.0
48,Trinidad & Tobago,25740.0
49,Liberia,14880.0
50,Guyana,10800.0
51,Congo,6900.0
52,Gabon,2700.0
53,Nepal,1440.0
54,Equatorial Guinea,1080.0
