,index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Brazil,1637160.0,1637580.0,2076180.0,1690020.0,1691520.0,1083600.0,1751820.0,1568880.0,2205660.0,2854680.0,1878600.0,1881900.0,2901120.0,1732380.0,2356860.0,1975980.0,2905920.0,2334660.0,3089460.0,2638620.0,3325680.0,2915520.0,3325080.0,3281340.0,3198300.0,3172260.0,3407280.0,3164400.0,3907860.0,3492660.0
1,Viet Nam,78600.0,86280.0,140400.0,181200.0,217920.0,238200.0,345120.0,418740.0,423120.0,697860.0,890460.0,785580.0,694440.0,920220.0,862200.0,830520.0,1160400.0,984300.0,1106280.0,1069500.0,1200000.0,1590000.0,1404120.0,1656600.0,1634460.0,1865400.0,1669140.0,2005920.0,1816980.0,1829220.0
2,Colombia,863760.0,1078800.0,896820.0,685320.0,777840.0,776280.0,646740.0,727320.0,652080.0,570720.0,631140.0,717000.0,702720.0,663180.0,685740.0,717120.0,729840.0,750900.0,519840.0,485880.0,511380.0,459180.0,595620.0,727440.0,799980.0,840540.0,878040.0,829440.0,831960.0,846000.0
3,Indonesia,446460.0,509580.0,334140.0,404580.0,322080.0,274380.0,493260.0,457260.0,437760.0,393420.0,419220.0,409980.0,403860.0,384240.0,452160.0,549540.0,448980.0,466620.0,576720.0,682800.0,547740.0,413340.0,784200.0,774060.0,656760.0,755100.0,692460.0,651120.0,577080.0,685980.0
4,Ethiopia,174540.0,175500.0,109500.0,178020.0,165780.0,189900.0,204420.0,183420.0,175680.0,227040.0,186900.0,242640.0,245640.0,263640.0,312780.0,286740.0,333060.0,358020.0,296940.0,409800.0,333600.0,339000.0,367920.0,374520.0,382980.0,390900.0,428580.0,440820.0,450660.0,440580.0
5,India,169740.0,180000.0,169380.0,211980.0,180120.0,240720.0,205020.0,246540.0,265020.0,292020.0,301200.0,288600.0,275280.0,282480.0,275460.0,273960.0,270000.0,262020.0,244320.0,289620.0,336000.0,320040.0,324180.0,304500.0,327000.0,349800.0,369660.0,348780.0,319500.0,299280.0
6,Mexico,280440.0,283620.0,204060.0,301380.0,249540.0,318000.0,306600.0,288120.0,288060.0,373140.0,288900.0,266280.0,261060.0,252060.0,232020.0,253500.0,252000.0,249000.0,279060.0,246540.0,240060.0,273660.0,259620.0,234960.0,218160.0,166320.0,218100.0,269100.0,261060.0,239100.0
7,Guatemala,196260.0,209820.0,259080.0,212160.0,227220.0,240120.0,271500.0,253140.0,293580.0,307200.0,296400.0,220140.0,244200.0,216600.0,222180.0,220560.0,237000.0,246000.0,227100.0,230100.0,237000.0,231000.0,225780.0,191340.0,198600.0,204600.0,221040.0,224040.0,240420.0,216360.0
8,Honduras,94080.0,139320.0,115080.0,109740.0,130860.0,114540.0,120240.0,153840.0,131700.0,179100.0,160020.0,182160.0,149760.0,178080.0,154500.0,192240.0,207660.0,218400.0,207000.0,216180.0,259860.0,352920.0,281160.0,274980.0,316080.0,347160.0,447420.0,453600.0,429180.0,355860.0
9,Uganda,117300.0,125280.0,131100.0,188520.0,143580.0,194640.0,205140.0,206400.0,203160.0,171720.0,204060.0,189480.0,173400.0,155940.0,156780.0,130500.0,173640.0,209400.0,200100.0,173640.0,196020.0,186900.0,234840.0,217980.0,224640.0,219000.0,297720.0,275820.0,282240.0,330540.0
