,Year,Total_production
1,1990,2546969.0
2,1991,10315877.18
3,1992,10221818.01
4,1993,10598005.55
5,1994,10722908.77
6,1995,10778120.870000001
7,1996,11113192.95
8,1997,11463602.4
9,1998,12490350.81
10,1999,12836671.39
11,2000,12374297.6
12,2001,12915832.950000001
13,2002,13238712.35
14,2003,13471999.59
15,2004,14337967.96
16,2005,15138836.190000001
17,2006,15430234.81
18,2007,16618329.28
19,2008,17035797.32
20,2009,17226790.380000003
21,2010,18594977.12
22,2011,19567499.42
23,2012,20507402.98
24,2013,21734005.02
25,2014,22680122.020000003
26,2015,23448925.03
27,2016,23870757.290000003
28,2017,24833105.720000003
29,2018,26100791.5
30,2019,26674718.020000003
31,Total_production,478888619.48
