,Country,Total_production
0,China,158606451.0
1,India,122952100.0
2,Kenya,41369000.0
3,Sri Lanka,37220165.0
4,Türkiye,29821827.0
5,Indonesia,19455919.0
6,Viet Nam,17062022.580000002
7,Argentina,8896505.0
8,Bangladesh,7462075.0
9,Malawi,5326921.0
10,Iran (Islamic Republic of),5280832.800000002
11,Uganda,4765704.0
12,United Republic of Tanzania,3645090.0
13,Japan,2630000.0
14,Myanmar,2352865.26
15,Rwanda,2301232.13
16,Zimbabwe,2078000.0
17,Nepal,1524249.0
18,Thailand,1367701.9700000002
19,Burundi,1059332.0
20,Georgia,590676.0
21,"China, Taiwan Province of",561181.0
22,Mozambique,508473.0
23,Russian Federation,299739.89999999997
24,Malaysia,240304.38
25,South Africa,217633.93
26,Papua New Guinea,189976.44999999998
27,Ethiopia,162845.41999999998
28,Brazil,149749.0
29,Cameroon,135044.16
30,Peru,129345.93000000002
31,Azerbaijan,99107.9
32,Lao People's Democratic Republic,74947.14
33,Democratic Republic of the Congo,74604.61
34,Mauritius,69336.0
35,Ecuador,49513.25999999998
36,Republic of Korea,47189.83000000001
37,Bolivia (Plurinational State of),28192.109999999997
38,Zambia,22417.83
39,Guatemala,13149.510000000002
40,El Salvador,11737.560000000001
41,Madagascar,11187.23
42,Réunion,7913.0
43,Seychelles,4615.03
44,Mali,3287.06
45,Colombia,2682.8
46,Portugal,2530.7
47,Ethiopia PDR,1650.0
48,Montenegro,1400.0
49,Panama,196.0
