Year,Exporter,Importer,Weight,Exporter_region,Import_region
2012,Vietnam,"Areas, nes",305238.72,Eastern and South-Eastern Asia (excl. China),
2012,Brazil,United States,298561.8,Latin America and the Caribbean,Northern America
2012,Brazil,Germany,292743.06,Latin America and the Caribbean,Europe
2012,Vietnam,Germany,247705.73,Eastern and South-Eastern Asia (excl. China),Europe
2012,Vietnam,United States,221460.72,Eastern and South-Eastern Asia (excl. China),Northern America
2012,Colombia,United States,163874.52,Latin America and the Caribbean,Northern America
2012,Brazil,Italy,148874.58,Latin America and the Caribbean,Europe
2012,Brazil,Japan,122869.87,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2012,Vietnam,Italy,111805.914,Eastern and South-Eastern Asia (excl. China),Europe
2012,Vietnam,Spain,110516.97,Eastern and South-Eastern Asia (excl. China),Europe
2012,Guatemala,United States,103474.336,Latin America and the Caribbean,Northern America
2012,Honduras,Germany,99168.36,Latin America and the Caribbean,Europe
2012,Peru,Germany,93797.83,Latin America and the Caribbean,Europe
2012,Mexico,United States,90038.17,Latin America and the Caribbean,Northern America
2012,Vietnam,Japan,75609.35,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,India,Italy,73073.66,Central and Southern Asia,Europe
2012,Germany,Poland,72016.234,Europe,Europe
2012,Indonesia,United States,70045.8,Eastern and South-Eastern Asia (excl. China),Northern America
2012,United States,Canada,67551.77,Northern America,Northern America
2012,Brazil,Belgium,61059.0,Latin America and the Caribbean,Europe
2012,Honduras,United States,58608.516,Latin America and the Caribbean,Northern America
2012,Germany,United States,57339.883,Europe,Northern America
2012,Cote d'Ivoire,Algeria,53825.508,Sub-Saharan Africa,Northern Africa and Western Asia
2012,Indonesia,Germany,50668.156,Eastern and South-Eastern Asia (excl. China),Europe
2012,Indonesia,Japan,49754.016,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Peru,United States,48129.52,Latin America and the Caribbean,Northern America
2012,Costa Rica,United States,46548.91,Latin America and the Caribbean,Northern America
2012,Vietnam,Indonesia,45197.844,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Nicaragua,United States,44216.203,Latin America and the Caribbean,Northern America
2012,Colombia,Japan,43735.4,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2012,Brazil,France,42905.78,Latin America and the Caribbean,Europe
2012,Ethiopia,Germany,42151.85,Sub-Saharan Africa,Europe
2012,Vietnam,France,41747.78,Eastern and South-Eastern Asia (excl. China),Europe
2012,Vietnam,Ecuador,41681.914,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean
2012,Vietnam,China,40192.5,Eastern and South-Eastern Asia (excl. China),China
2012,Vietnam,Algeria,40134.414,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia
2012,Vietnam,United Kingdom,39327.72,Eastern and South-Eastern Asia (excl. China),Europe
2012,Vietnam,Russian Federation,37967.207,Eastern and South-Eastern Asia (excl. China),Europe
2012,Brazil,Sweden,36670.996,Latin America and the Caribbean,Europe
2012,Brazil,Spain,35631.01,Latin America and the Caribbean,Europe
2012,Vietnam,"Korea, Republic",34516.46,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Vietnam,Belgium,34403.562,Eastern and South-Eastern Asia (excl. China),Europe
2012,Indonesia,Malaysia,33173.65,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Colombia,Canada,33076.4,Latin America and the Caribbean,Northern America
2012,Canada,United States,31814.012,Northern America,Northern America
2012,Vietnam,India,31650.457,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2012,Peru,Colombia,31262.658,Latin America and the Caribbean,Latin America and the Caribbean
2012,Brazil,Argentina,30011.793,Latin America and the Caribbean,Latin America and the Caribbean
2012,Uganda,Germany,29775.326,Sub-Saharan Africa,Europe
2012,Guatemala,Japan,28873.426,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2012,Vietnam,Philippines,28578.422,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Germany,Poland,28469.152,Europe,Europe
2012,Nicaragua,Venezuela,28369.738,Latin America and the Caribbean,Latin America and the Caribbean
2012,Brazil,Canada,28337.344,Latin America and the Caribbean,Northern America
2012,Vietnam,Thailand,27679.371,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Brazil,Finland,27602.078,Latin America and the Caribbean,Europe
2012,India,Germany,27207.346,Central and Southern Asia,Europe
2012,Indonesia,Italy,26657.879,Eastern and South-Eastern Asia (excl. China),Europe
2012,China,Germany,26440.66,China,Europe
2012,Brazil,United Kingdom,26248.926,Latin America and the Caribbean,Europe
2012,Ethiopia,Saudi Arabia,26176.41,Sub-Saharan Africa,Northern Africa and Western Asia
2012,Vietnam,Malaysia,25769.428,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China)
2012,Ecuador,Colombia,24775.164,Latin America and the Caribbean,Latin America and the Caribbean
2012,Papua New Guinea,Germany,24407.242,Oceania (excl. Australia and New Zealand),Europe
2012,Colombia,Germany,22987.908,Latin America and the Caribbean,Europe
2012,Brazil,Russian Federation,22813.633,Latin America and the Caribbean,Europe
2012,El Salvador,United States,22458.352,Latin America and the Caribbean,Northern America
2012,Belgium,France,22026.223,Europe,Europe
2012,Uganda,Sudan,21829.105,Sub-Saharan Africa,Northern Africa and Western Asia
2012,Colombia,Belgium,21631.324,Latin America and the Caribbean,Europe
2012,Vietnam,Mexico,21511.562,Eastern and South-Eastern Asia (excl. China),Latin America and the Caribbean
2012,Uganda,Italy,21227.188,Sub-Saharan Africa,Europe
2012,Brazil,Turkey,21037.57,Latin America and the Caribbean,Northern Africa and Western Asia
2012,Burundi,"Areas, nes",20945.158,Sub-Saharan Africa,
2012,Italy,Germany,20650.85,Europe,Europe
2012,Guatemala,Germany,20325.93,Latin America and the Caribbean,Europe
2012,Brazil,Greece,19960.6,Latin America and the Caribbean,Europe
2012,Brazil,Lebanon,19898.27,Latin America and the Caribbean,Northern Africa and Western Asia
2012,Brazil,"Korea, Republic",19653.617,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China)
2012,United States,Canada,19294.744,Northern America,Northern America
2012,Guatemala,Canada,19023.38,Latin America and the Caribbean,Northern America
2012,Honduras,Belgium,18851.498,Latin America and the Caribbean,Europe
2012,Indonesia,India,18639.516,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2012,Brazil,Netherlands,18625.068,Latin America and the Caribbean,Europe
2012,Indonesia,Russian Federation,18473.842,Eastern and South-Eastern Asia (excl. China),Europe
2012,Colombia,United Kingdom,18370.697,Latin America and the Caribbean,Europe
2012,Vietnam,Poland,18342.012,Eastern and South-Eastern Asia (excl. China),Europe
2012,Germany,Netherlands,18209.477,Europe,Europe
2012,Germany,France,17977.01,Europe,Europe
2012,Belgium,Netherlands,17877.688,Europe,Europe
