,Exporter,Importer,Exporter_region,Import_region,Weight
0,Brazil,Germany,Latin America and the Caribbean,Europe,6256841.64452641
1,Brazil,United States,Latin America and the Caribbean,Northern America,6209853.4340037
2,Colombia,United States,Latin America and the Caribbean,Northern America,5033046.5993694
3,Vietnam,Germany,Eastern and South-Eastern Asia (excl. China),Europe,3287749.8854615698
4,Brazil,Italy,Latin America and the Caribbean,Europe,3103032.9423154
5,Vietnam,United States,Eastern and South-Eastern Asia (excl. China),Northern America,2848002.588316
6,Brazil,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),2361604.32639081
7,Guatemala,United States,Latin America and the Caribbean,Northern America,2085879.7517195
8,Mexico,United States,Latin America and the Caribbean,Northern America,1693864.9633254
9,Vietnam,Spain,Eastern and South-Eastern Asia (excl. China),Europe,1653831.54463746
10,Vietnam,Italy,Eastern and South-Eastern Asia (excl. China),Europe,1600258.74682061
11,United States,Canada,Northern America,Northern America,1577092.921902
12,Colombia,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),1460019.793369
13,Indonesia,United States,Eastern and South-Eastern Asia (excl. China),Northern America,1400534.63441196
14,Brazil,Belgium,Latin America and the Caribbean,Europe,1359658.02869229
15,Colombia,Germany,Latin America and the Caribbean,Europe,1303014.8887619239
16,Honduras,Germany,Latin America and the Caribbean,Europe,1300035.6416747
17,Peru,Germany,Latin America and the Caribbean,Europe,1218935.2337140776
18,Germany,United States,Europe,Northern America,1170829.6908655
19,India,Italy,Central and Southern Asia,Europe,1148522.18566464
20,Germany,Poland,Europe,Europe,1122555.81780717
21,Costa Rica,United States,Latin America and the Caribbean,Northern America,1080707.526325
22,Brazil,France,Latin America and the Caribbean,Europe,1077867.622993435
23,Vietnam,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),1068176.84075566
24,Cote d'Ivoire,Algeria,Sub-Saharan Africa,Northern Africa and Western Asia,1068159.711998
25,Peru,United States,Latin America and the Caribbean,Northern America,1054167.7035435701
26,Indonesia,Germany,Eastern and South-Eastern Asia (excl. China),Europe,1045589.7266096144
27,Indonesia,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),998928.4832147
28,Brazil,Spain,Latin America and the Caribbean,Europe,944223.81766223
29,Nicaragua,United States,Latin America and the Caribbean,Northern America,916499.3501633
30,Honduras,United States,Latin America and the Caribbean,Northern America,906901.8050623
31,Belgium,France,Europe,Europe,842095.7272159
32,Colombia,Canada,Latin America and the Caribbean,Northern America,827039.7594274953
33,Brazil,Sweden,Latin America and the Caribbean,Europe,785541.9732420107
