Exporter,Importer,Exporter_region,Import_region,Weight,Exporter_color,Importer_color,Source,Target
Brazil,Belgium,Latin America and the Caribbean,Europe,1359658.02869229,#59a14f,#4e79a7,0,15
Brazil,Canada,Latin America and the Caribbean,Northern America,642395.560777095,#59a14f,purple,0,17
Brazil,France,Latin America and the Caribbean,Europe,1077867.622993435,#59a14f,#4e79a7,0,14
Brazil,Germany,Latin America and the Caribbean,Europe,6256841.64452641,#59a14f,#4e79a7,0,11
Brazil,Italy,Latin America and the Caribbean,Europe,3103032.9423154,#59a14f,#4e79a7,0,12
Brazil,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),2361604.32639081,#59a14f,#e15759,0,13
Brazil,Netherlands,Latin America and the Caribbean,Europe,528340.662083842,#59a14f,#4e79a7,0,19
Brazil,Others (Importer),Latin America and the Caribbean,Europe,9068966.223288624,#59a14f,#4e79a7,0,21
Brazil,Spain,Latin America and the Caribbean,Europe,944223.81766223,#59a14f,#4e79a7,0,16
Brazil,United Kingdom,Latin America and the Caribbean,Europe,587465.1920562,#59a14f,#4e79a7,0,18
Brazil,United States,Latin America and the Caribbean,Northern America,6209853.4340037,#59a14f,purple,0,10
Colombia,Belgium,Latin America and the Caribbean,Europe,562946.0313565,#59a14f,#4e79a7,2,15
Colombia,Canada,Latin America and the Caribbean,Northern America,827039.7594274953,#59a14f,purple,2,17
Colombia,France,Latin America and the Caribbean,Europe,225646.29874768,#59a14f,#4e79a7,2,14
Colombia,Germany,Latin America and the Caribbean,Europe,1303014.8887619239,#59a14f,#4e79a7,2,11
Colombia,Italy,Latin America and the Caribbean,Europe,321200.04520568997,#59a14f,#4e79a7,2,12
Colombia,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),1460019.793369,#59a14f,#e15759,2,13
Colombia,Netherlands,Latin America and the Caribbean,Europe,146216.634884975,#59a14f,#4e79a7,2,19
Colombia,Others (Importer),Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),1823524.1114940036,#59a14f,#e15759,2,21
Colombia,Spain,Latin America and the Caribbean,Europe,310466.82917859,#59a14f,#4e79a7,2,16
Colombia,United Kingdom,Latin America and the Caribbean,Europe,367736.297549456,#59a14f,#4e79a7,2,18
Colombia,United States,Latin America and the Caribbean,Northern America,5033046.5993694,#59a14f,purple,2,10
Germany,Belgium,Europe,Europe,391043.9773257,#4e79a7,#4e79a7,11,15
Germany,Canada,Europe,Northern America,40227.12923664,#4e79a7,purple,11,17
Germany,France,Europe,Europe,661277.4523059999,#4e79a7,#4e79a7,11,14
Germany,Italy,Europe,Europe,267520.04166582,#4e79a7,#4e79a7,11,12
Germany,Japan,Europe,Eastern and South-Eastern Asia (excl. China),7580.2748219,#4e79a7,#e15759,11,13
Germany,Netherlands,Europe,Europe,748557.8629696,#4e79a7,#4e79a7,11,19
Germany,Others (Importer),Europe,Europe,3823563.836406721,#4e79a7,#4e79a7,11,21
Germany,Spain,Europe,Europe,528682.19910413,#4e79a7,#4e79a7,11,16
Germany,United Kingdom,Europe,Europe,226101.2603635,#4e79a7,#4e79a7,11,18
Germany,United States,Europe,Northern America,1170829.6908655,#4e79a7,purple,11,10
Guatemala,Belgium,Latin America and the Caribbean,Europe,150840.37495,#59a14f,#4e79a7,6,15
Guatemala,Canada,Latin America and the Caribbean,Northern America,376363.636264243,#59a14f,purple,6,17
Guatemala,France,Latin America and the Caribbean,Europe,63320.950832999995,#59a14f,#4e79a7,6,14
Guatemala,Germany,Latin America and the Caribbean,Europe,376428.34272247,#59a14f,#4e79a7,6,11
Guatemala,Italy,Latin America and the Caribbean,Europe,218422.98053924998,#59a14f,#4e79a7,6,12
Guatemala,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),543548.613833,#59a14f,#e15759,6,13
Guatemala,Netherlands,Latin America and the Caribbean,Europe,79370.74090269,#59a14f,#4e79a7,6,19
Guatemala,Others (Importer),Latin America and the Caribbean,Europe,575517.8621668207,#59a14f,#4e79a7,6,21
Guatemala,Spain,Latin America and the Caribbean,Europe,34210.30040245,#59a14f,#4e79a7,6,16
Guatemala,United Kingdom,Latin America and the Caribbean,Europe,37773.79034497,#59a14f,#4e79a7,6,18
Guatemala,United States,Latin America and the Caribbean,Northern America,2085879.7517195,#59a14f,purple,6,10
Honduras,Belgium,Latin America and the Caribbean,Europe,410830.1466,#59a14f,#4e79a7,5,15
Honduras,Canada,Latin America and the Caribbean,Northern America,93579.4998360765,#59a14f,purple,5,17
Honduras,France,Latin America and the Caribbean,Europe,231005.78194,#59a14f,#4e79a7,5,14
Honduras,Germany,Latin America and the Caribbean,Europe,1300035.6416747,#59a14f,#4e79a7,5,11
Honduras,Italy,Latin America and the Caribbean,Europe,254096.7687,#59a14f,#4e79a7,5,12
Honduras,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),156599.163,#59a14f,#e15759,5,13
Honduras,Netherlands,Latin America and the Caribbean,Europe,141347.232015017,#59a14f,#4e79a7,5,19
Honduras,Others (Importer),Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),968784.2147234814,#59a14f,#e15759,5,21
Honduras,Spain,Latin America and the Caribbean,Europe,105252.93817556,#59a14f,#4e79a7,5,16
Honduras,United Kingdom,Latin America and the Caribbean,Europe,106180.67,#59a14f,#4e79a7,5,18
Honduras,United States,Latin America and the Caribbean,Northern America,906901.8050623,#59a14f,purple,5,10
India,Belgium,Central and Southern Asia,Europe,199369.50846527,#f28e2c,#4e79a7,8,15
India,Canada,Central and Southern Asia,Northern America,26697.557446090002,#f28e2c,purple,8,17
India,France,Central and Southern Asia,Europe,72145.267405548,#f28e2c,#4e79a7,8,14
India,Germany,Central and Southern Asia,Europe,490880.55708344,#f28e2c,#4e79a7,8,11
India,Italy,Central and Southern Asia,Europe,1148522.18566464,#f28e2c,#4e79a7,8,12
India,Japan,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China),41058.290895699996,#f28e2c,#e15759,8,13
India,Netherlands,Central and Southern Asia,Europe,45565.448417228996,#f28e2c,#4e79a7,8,19
India,Others (Importer),Central and Southern Asia,Europe,1575517.493801825,#f28e2c,#4e79a7,8,21
India,Spain,Central and Southern Asia,Europe,181948.75198248,#f28e2c,#4e79a7,8,16
India,United Kingdom,Central and Southern Asia,Europe,30687.71652608,#f28e2c,#4e79a7,8,18
India,United States,Central and Southern Asia,Northern America,78392.6044705,#f28e2c,purple,8,10
Indonesia,Belgium,Eastern and South-Eastern Asia (excl. China),Europe,167777.663972294,#e15759,#4e79a7,3,15
Indonesia,Canada,Eastern and South-Eastern Asia (excl. China),Northern America,67821.81143785,#e15759,purple,3,17
Indonesia,France,Eastern and South-Eastern Asia (excl. China),Europe,112458.9360371,#e15759,#4e79a7,3,14
Indonesia,Germany,Eastern and South-Eastern Asia (excl. China),Europe,1045589.7266096144,#e15759,#4e79a7,3,11
Indonesia,Italy,Eastern and South-Eastern Asia (excl. China),Europe,550707.555,#e15759,#4e79a7,3,12
Indonesia,Japan,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),998928.4832147,#e15759,#e15759,3,13
Indonesia,Netherlands,Eastern and South-Eastern Asia (excl. China),Europe,34105.185283113,#e15759,#4e79a7,3,19
Indonesia,Others (Importer),Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),3297266.6688838145,#e15759,#e15759,3,21
Indonesia,Spain,Eastern and South-Eastern Asia (excl. China),Europe,76260.052783237,#e15759,#4e79a7,3,16
Indonesia,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,308018.65002786403,#e15759,#4e79a7,3,18
Indonesia,United States,Eastern and South-Eastern Asia (excl. China),Northern America,1400534.63441196,#e15759,purple,3,10
Others (Exporter),Belgium,Europe,Europe,1538128.4552468122,#4e79a7,#4e79a7,20,15
Others (Exporter),Canada,Northern America,Northern America,2089993.5890135113,purple,purple,20,17
Others (Exporter),France,Europe,Europe,3264990.0412230906,#4e79a7,#4e79a7,20,14
Others (Exporter),Germany,Sub-Saharan Africa,Europe,5042778.524749171,gold,#4e79a7,20,11
Others (Exporter),Italy,Sub-Saharan Africa,Europe,1591318.837720658,gold,#4e79a7,20,12
Others (Exporter),Japan,Sub-Saharan Africa,Eastern and South-Eastern Asia (excl. China),1484473.160873442,gold,#e15759,20,13
Others (Exporter),Netherlands,Europe,Europe,1326257.9576904457,#4e79a7,#4e79a7,20,19
Others (Exporter),Others (Importer),Others,Others,13560150.0,grey,grey,20,21
Others (Exporter),Spain,Sub-Saharan Africa,Europe,1024740.1660253392,gold,#4e79a7,20,16
Others (Exporter),United Kingdom,Europe,Europe,1058291.5973127007,#4e79a7,#4e79a7,20,18
Others (Exporter),United States,Latin America and the Caribbean,Northern America,6864918.047110221,#59a14f,purple,20,10
Peru,Belgium,Latin America and the Caribbean,Europe,280981.872080432,#59a14f,#4e79a7,7,15
Peru,Canada,Latin America and the Caribbean,Northern America,164278.13681153,#59a14f,purple,7,17
Peru,France,Latin America and the Caribbean,Europe,128843.995869984,#59a14f,#4e79a7,7,14
Peru,Germany,Latin America and the Caribbean,Europe,1218935.2337140776,#59a14f,#4e79a7,7,11
Peru,Italy,Latin America and the Caribbean,Europe,92808.504043628,#59a14f,#4e79a7,7,12
Peru,Japan,Latin America and the Caribbean,Eastern and South-Eastern Asia (excl. China),62951.718026229995,#59a14f,#e15759,7,13
