Year,Exporter,Importer,Weight,Exporter_region,Import_region
2006,Kenya,Pakistan,77496.83,Sub-Saharan Africa,Central and Southern Asia
2006,Kenya,Egypt,68682.26,Sub-Saharan Africa,Northern Africa and Western Asia
2006,Kenya,United Kingdom,63912.43,Sub-Saharan Africa,Europe
2006,China,Morocco,46668.508,China,Northern Africa and Western Asia
2006,Sri Lanka,Russian Federation,46032.668,Central and Southern Asia,Europe
2006,Argentina,United States,40070.633,Latin America and the Caribbean,Northern America
2006,India,Russian Federation,33468.445,Central and Southern Asia,Europe
2006,Sri Lanka,United Arab Emirates,30661.727,Central and Southern Asia,Northern Africa and Western Asia
2006,Brazil,Uruguay,27833.54,Latin America and the Caribbean,Latin America and the Caribbean
2006,India,United Kingdom,21625.36,Central and Southern Asia,Europe
2006,Sri Lanka,Russian Federation,21457.705,Central and Southern Asia,Europe
2006,Sri Lanka,Iran,21224.127,Central and Southern Asia,Central and Southern Asia
2006,China,Uzbekistan,18658.451,China,Central and Southern Asia
2006,Kenya,Former Sudan,18153.266,Sub-Saharan Africa,
2006,Sri Lanka,Syria,17178.584,Central and Southern Asia,Northern Africa and Western Asia
2006,China,Japan,16149.068,China,Eastern and South-Eastern Asia (excl. China)
2006,Iran,United Arab Emirates,14401.787,Central and Southern Asia,Northern Africa and Western Asia
2006,Argentina,Syria,14386.069,Latin America and the Caribbean,Northern Africa and Western Asia
2006,Tanzania,Kenya,14147.392,Sub-Saharan Africa,Sub-Saharan Africa
2006,Sri Lanka,United Arab Emirates,13598.122,Central and Southern Asia,Northern Africa and Western Asia
2006,Kenya,Yemen,12914.549,Sub-Saharan Africa,Northern Africa and Western Asia
2006,Malawi,South Africa,12325.921,Sub-Saharan Africa,Sub-Saharan Africa
2006,India,Pakistan,12045.436,Central and Southern Asia,Central and Southern Asia
2006,Sri Lanka,Syria,11405.722,Central and Southern Asia,Northern Africa and Western Asia
2006,Indonesia,Russian Federation,10857.826,Eastern and South-Eastern Asia (excl. China),Europe
2006,Kenya,Russian Federation,10723.144,Sub-Saharan Africa,Europe
2006,Vietnam,India,10695.965,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia
2006,Uganda,Kenya,10687.077,Sub-Saharan Africa,Sub-Saharan Africa
2006,Malawi,United Kingdom,10534.276,Sub-Saharan Africa,Europe
2006,Sri Lanka,Japan,10176.673,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China)
2006,Kenya,Afghanistan,10021.111,Sub-Saharan Africa,Central and Southern Asia
2006,Vietnam,"Other Asia, nes",9953.494,Eastern and South-Eastern Asia (excl. China),
2006,China,Japan,9865.389,China,Eastern and South-Eastern Asia (excl. China)
2006,China,United States,9665.258,China,Northern America
2006,Indonesia,United Kingdom,9633.036,Eastern and South-Eastern Asia (excl. China),Europe
2006,Argentina,Chile,9629.016,Latin America and the Caribbean,Latin America and the Caribbean
2006,Vietnam,Russian Federation,9541.172,Eastern and South-Eastern Asia (excl. China),Europe
2006,Kenya,United Arab Emirates,9499.308,Sub-Saharan Africa,Northern Africa and Western Asia
2006,India,United Arab Emirates,9261.677,Central and Southern Asia,Northern Africa and Western Asia
2006,China,Libya,9188.54,China,Northern Africa and Western Asia
2006,Sri Lanka,Iraq,9177.125,Central and Southern Asia,Northern Africa and Western Asia
2006,India,Iraq,8679.656,Central and Southern Asia,Northern Africa and Western Asia
2006,Rwanda,Kenya,8415.683,Sub-Saharan Africa,Sub-Saharan Africa
2006,Rwanda,Kenya,8146.709,Sub-Saharan Africa,Sub-Saharan Africa
2006,India,Kazakhstan,8112.183,Central and Southern Asia,Central and Southern Asia
2006,China,Algeria,7827.3027,China,Northern Africa and Western Asia
2006,China,United States,7807.755,China,Northern America
