,Exporter,Importer,Exporter_region,Import_region,Weight
0,Kenya,Pakistan,Sub-Saharan Africa,Central and Southern Asia,1813454.22547267
1,Kenya,Egypt,Sub-Saharan Africa,Northern Africa and Western Asia,1422859.33988193
2,Kenya,United Kingdom,Sub-Saharan Africa,Europe,1241857.7780624
3,China,Morocco,China,Northern Africa and Western Asia,1098368.5537745699
4,Sri Lanka,Russian Federation,Central and Southern Asia,Europe,1021686.535547
5,India,Russian Federation,Central and Southern Asia,Europe,922163.9576485
6,Argentina,United States,Latin America and the Caribbean,Northern America,814397.16890046
7,Uganda,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,737496.9102
8,Kenya,Afghanistan,Sub-Saharan Africa,Central and Southern Asia,612348.838
9,Brazil,Uruguay,Latin America and the Caribbean,Latin America and the Caribbean,559089.820188022
10,Sri Lanka,United Arab Emirates,Central and Southern Asia,Northern Africa and Western Asia,545413.058757
11,China,Japan,China,Eastern and South-Eastern Asia (excl. China),470354.43377
12,Sri Lanka,Iran,Central and Southern Asia,Central and Southern Asia,456235.6471431
13,Sri Lanka,Syria,Central and Southern Asia,Northern Africa and Western Asia,428881.549748
14,Argentina,Syria,Latin America and the Caribbean,Northern Africa and Western Asia,426603.8756837
15,India,United Kingdom,Central and Southern Asia,Europe,422366.6929206
16,India,United Arab Emirates,Central and Southern Asia,Northern Africa and Western Asia,415141.72201455
17,Sri Lanka,Iraq,Central and Southern Asia,Northern Africa and Western Asia,411359.35673999996
18,China,Uzbekistan,China,Central and Southern Asia,391017.54216336
19,China,United States,China,Northern America,346189.166127
20,India,Iran,Central and Southern Asia,Central and Southern Asia,319368.5632645
21,Kenya,United Arab Emirates,Sub-Saharan Africa,Northern Africa and Western Asia,305072.318257
22,Sri Lanka,Turkey,Central and Southern Asia,Northern Africa and Western Asia,303205.58226856
23,Kenya,Yemen,Sub-Saharan Africa,Northern Africa and Western Asia,293881.878728
24,Kenya,Russian Federation,Sub-Saharan Africa,Europe,288812.185972
25,China,Russian Federation,China,Europe,283641.6935935
26,Vietnam,Pakistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,273295.438655
27,Argentina,Chile,Latin America and the Caribbean,Latin America and the Caribbean,266917.189446364
28,Rwanda,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,254799.3646
29,Malawi,South Africa,Sub-Saharan Africa,Sub-Saharan Africa,247378.79574928398
30,Indonesia,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,229838.955912
31,Malawi,United Kingdom,Sub-Saharan Africa,Europe,228334.25083496998
32,China,Algeria,China,Northern Africa and Western Asia,225354.78786
33,India,Kazakhstan,Central and Southern Asia,Central and Southern Asia,225002.20664052
34,United Arab Emirates,Iran,Northern Africa and Western Asia,Central and Southern Asia,223535.133321
35,India,United States,Central and Southern Asia,Northern America,221267.62535306
36,Vietnam,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,213914.29460906
37,India,Pakistan,Central and Southern Asia,Central and Southern Asia,205839.99804656
38,Tanzania,Kenya,Sub-Saharan Africa,Sub-Saharan Africa,205737.05310153
39,Sri Lanka,Libya,Central and Southern Asia,Northern Africa and Western Asia,195494.784645
40,China,Mauritania,China,Sub-Saharan Africa,195070.7288
41,Kenya,Sudan,Sub-Saharan Africa,Northern Africa and Western Asia,193858.16093
42,China,Germany,China,Europe,192473.415123
43,Indonesia,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,191755.62918237
44,China,"China, Hong Kong SAR",China,China,191614.3120582
45,Vietnam,Afghanistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,189121.233
46,China,Mali,China,Sub-Saharan Africa,185194.3003034
47,Sri Lanka,Japan,Central and Southern Asia,Eastern and South-Eastern Asia (excl. China),182476.98751623
48,Kenya,Kazakhstan,Sub-Saharan Africa,Central and Southern Asia,176698.11570265002
49,India,Germany,Central and Southern Asia,Europe,171471.26774483
50,Indonesia,Malaysia,Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),168262.6781897
51,Sri Lanka,Ukraine,Central and Southern Asia,Europe,161763.628975
52,United Arab Emirates,Saudi Arabia,Northern Africa and Western Asia,Northern Africa and Western Asia,161092.3378018
53,Indonesia,Pakistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,156998.847124
54,China,Senegal,China,Sub-Saharan Africa,156975.230121
55,Sri Lanka,Saudi Arabia,Central and Southern Asia,Northern Africa and Western Asia,142252.60193079998
56,Sri Lanka,Jordan,Central and Southern Asia,Northern Africa and Western Asia,136412.25029036
57,India,Iraq,Central and Southern Asia,Northern Africa and Western Asia,133808.31646
58,Sri Lanka,Azerbaijan,Central and Southern Asia,Northern Africa and Western Asia,130754.86575495
59,Sri Lanka,Germany,Central and Southern Asia,Europe,130261.218853
60,Sri Lanka,Chile,Central and Southern Asia,Latin America and the Caribbean,129962.64254364
61,Nepal,India,Central and Southern Asia,Central and Southern Asia,128639.58030407
