Exporter,Importer,Exporter_region,Import_region,Weight,Exporter_color,Importer_color,Source,Target
Argentina,Egypt,Latin America and the Caribbean,Northern Africa and Western Asia,69.771729,#59a14f,#8c5c35,4,14
Argentina,Kenya,Latin America and the Caribbean,Sub-Saharan Africa,22873.78813,#59a14f,gold,4,0
Argentina,Morocco,Latin America and the Caribbean,Northern Africa and Western Asia,9.061350000000001,#59a14f,#8c5c35,4,16
Argentina,Others (Importer),Latin America and the Caribbean,Northern Africa and Western Asia,1111966.8272205745,#59a14f,#8c5c35,4,19
Argentina,Pakistan,Latin America and the Caribbean,Central and Southern Asia,2150.463338,#59a14f,#f28e2c,4,11
Argentina,Russian Federation,Latin America and the Caribbean,Europe,17699.152084960002,#59a14f,#4e79a7,4,10
Argentina,United Arab Emirates,Latin America and the Caribbean,Northern Africa and Western Asia,1816.2713780000001,#59a14f,#8c5c35,4,7
Argentina,United Kingdom,Latin America and the Caribbean,Europe,60048.222155653995,#59a14f,#4e79a7,4,12
Argentina,United States,Latin America and the Caribbean,Northern America,814397.16890046,#59a14f,purple,4,13
China,Afghanistan,China,Central and Southern Asia,105201.78744,pink,#f28e2c,1,17
China,Egypt,China,Northern Africa and Western Asia,15329.96268155,pink,#8c5c35,1,14
China,Iran,China,Central and Southern Asia,46163.5095568,pink,#f28e2c,1,15
China,Kenya,China,Sub-Saharan Africa,7291.81370658,pink,gold,1,0
China,Morocco,China,Northern Africa and Western Asia,1098368.5537745699,pink,#8c5c35,1,16
China,Others (Importer),China,Eastern and South-Eastern Asia (excl. China),3621362.229919463,pink,#e15759,1,19
China,Pakistan,China,Central and Southern Asia,113035.6484918,pink,#f28e2c,1,11
China,Russian Federation,China,Europe,283641.6935935,pink,#4e79a7,1,10
China,United Arab Emirates,China,Northern Africa and Western Asia,18864.55894625,pink,#8c5c35,1,7
China,United Kingdom,China,Europe,82749.667761,pink,#4e79a7,1,12
China,United States,China,Northern America,346189.166127,pink,purple,1,13
India,Afghanistan,Central and Southern Asia,Central and Southern Asia,45743.969011,#f28e2c,#f28e2c,3,17
India,Egypt,Central and Southern Asia,Northern Africa and Western Asia,81546.37881452999,#f28e2c,#8c5c35,3,14
India,Iran,Central and Southern Asia,Central and Southern Asia,319368.5632645,#f28e2c,#f28e2c,3,15
India,Kenya,Central and Southern Asia,Sub-Saharan Africa,43976.22610771,#f28e2c,gold,3,0
India,Morocco,Central and Southern Asia,Northern Africa and Western Asia,1306.727146415,#f28e2c,#8c5c35,3,16
India,Others (Importer),Central and Southern Asia,Central and Southern Asia,1618102.1404945545,#f28e2c,#f28e2c,3,19
India,Pakistan,Central and Southern Asia,Central and Southern Asia,205839.99804656,#f28e2c,#f28e2c,3,11
India,Russian Federation,Central and Southern Asia,Europe,922163.9576485,#f28e2c,#4e79a7,3,10
India,United Arab Emirates,Central and Southern Asia,Northern Africa and Western Asia,415141.72201455,#f28e2c,#8c5c35,3,7
India,United Kingdom,Central and Southern Asia,Europe,422366.6929206,#f28e2c,#4e79a7,3,12
India,United States,Central and Southern Asia,Northern America,221267.62535306,#f28e2c,purple,3,13
Indonesia,Afghanistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,36943.45466,#e15759,#f28e2c,5,17
Indonesia,Egypt,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,13611.9263713,#e15759,#8c5c35,5,14
Indonesia,Iran,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,21065.725356000003,#e15759,#f28e2c,5,15
Indonesia,Kenya,Eastern and South-Eastern Asia (excl. China),Sub-Saharan Africa,5508.08906,#e15759,gold,5,0
Indonesia,Morocco,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,527.2386849000001,#e15759,#8c5c35,5,16
Indonesia,Others (Importer),Eastern and South-Eastern Asia (excl. China),Eastern and South-Eastern Asia (excl. China),815132.9622189348,#e15759,#e15759,5,19
Indonesia,Pakistan,Eastern and South-Eastern Asia (excl. China),Central and Southern Asia,156998.847124,#e15759,#f28e2c,5,11
Indonesia,Russian Federation,Eastern and South-Eastern Asia (excl. China),Europe,229838.955912,#e15759,#4e79a7,5,10
Indonesia,United Arab Emirates,Eastern and South-Eastern Asia (excl. China),Northern Africa and Western Asia,50616.4680941,#e15759,#8c5c35,5,7
Indonesia,United Kingdom,Eastern and South-Eastern Asia (excl. China),Europe,191755.62918237,#e15759,#4e79a7,5,12
Indonesia,United States,Eastern and South-Eastern Asia (excl. China),Northern America,94421.0996911,#e15759,purple,5,13
